conversation_id,customer_tweet_id,customer_text,brand_tweet_id,brand_text,created_at,clean_customer_text,clean_brand_text
119249,119249,"@105838 @AppleSupport Me too am suffering , hope the can find a solution",119248,@105837 We can help. Which version of iOS are you on? You can find that in Settings &gt; General &gt; About. Reply in DM. https://t.co/GDrqU22YpT,Wed Oct 11 07:37:27 +0000 2017,"Me too am suffering , hope the can find a solution",We can help. Which version of iOS are you on? You can find that in Settings &gt; General &gt; About. Reply in DM.
119253,119253,I just updated my phone and suddenly everything takes ages to load wtf @76099 this update sux I hate it fix it bye,119252,@105839 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,Wed Oct 11 07:21:34 +0000 2017,I just updated my phone and suddenly everything takes ages to load wtf this update sux I hate it fix it bye,Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together.
119263,119263,"@AppleSupport after the 11.0.2 my phone just sucks most of the apps are broken, wifi disconnects frequently #apple #ios1102 #painfulupdate",119262,@105841 We'd love to help! Please DM us and let us know any steps you've tried since experiencing these behaviors. https://t.co/GDrqU22YpT,Wed Oct 11 06:29:07 +0000 2017,"after the 11.0.2 my phone just sucks most of the apps are broken, wifi disconnects frequently #apple #ios1102 #painfulupdate",We'd love to help! Please DM us and let us know any steps you've tried since experiencing these behaviors.
119268,119268,Okay @76099 I used my fucking phone for 2 minutes and it drains it down 8 fucking percent,119267,"@105843 Battery life is important, and we're here for you. DM us the iOS version your iPhone is running. We'll go from there. https://t.co/GDrqU22YpT",Wed Oct 11 06:27:16 +0000 2017,Okay I used my fucking phone for 2 minutes and it drains it down 8 fucking percent,"Battery life is important, and we're here for you. DM us the iOS version your iPhone is running. We'll go from there."
119270,119270,"@AppleSupport Can you get my iPhone 7plus back on the old iOS please?  Battery runs out in half the time, apps now frequently crash.",119269,@105844 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,Wed Oct 11 06:49:50 +0000 2017,"Can you get my iPhone 7plus back on the old iOS please? Battery runs out in half the time, apps now frequently crash.",Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together.
119272,119272,You’ve paralysed my phone with your update @76099 grrrrrrrrrr,119271,@105844 We'd be happy to help. Send us a DM and we can start there. https://t.co/GDrqU22YpT,Wed Oct 11 02:19:23 +0000 2017,You’ve paralysed my phone with your update grrrrrrrrrr,We'd be happy to help. Send us a DM and we can start there.
119280,119280,So the new @76099 update does not let me listen to music and go on whatsapp at the same time?!?,119279,@105846 We'd like to help. What happens when you try to listen to Apple Music &amp; use WhatsApp? Does the music pause? Let us know in DM. https://t.co/GDrqU22YpT,Wed Oct 11 07:13:34 +0000 2017,So the new update does not let me listen to music and go on whatsapp at the same time?!?,We'd like to help. What happens when you try to listen to Apple Music &amp; use WhatsApp? Does the music pause? Let us know in DM.
119292,119292,@AppleSupport #ios11update - is still killing my battery within 12 hours - phone is 10 months old - it’s a disgrace - used to get 2 days,119289,@105848 Let's take a look. What is the exact iOS you're using? Are you using any specific apps when noticing this? DM us your reply. https://t.co/GDrqU22YpT,Wed Oct 11 08:06:34 +0000 2017,#ios11update - is still killing my battery within 12 hours - phone is 10 months old - it’s a disgrace - used to get 2 days,Let's take a look. What is the exact iOS you're using? Are you using any specific apps when noticing this? DM us your reply.
119294,119294,"Took my phone off charge at 7:20am.

8:03am - 60% battery remaining.

@76099 plz I beg you, sort your battery life out😩",119293,@105849 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,Wed Oct 11 07:03:47 +0000 2017,"Took my phone off charge at 7:20am. 8:03am - 60% battery remaining. plz I beg you, sort your battery life out😩",Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together.
119299,119299,@AppleSupport I need a new code for my I-store. I haven’t recd any but msg is too many sent. Help!,119298,@105851 We'd like to provide some assistance with this. Tell us more about the issue you're experiencing in DM. We'll go from there. https://t.co/GDrqU22YpT,Wed Oct 11 07:16:18 +0000 2017,I need a new code for my I-store. I haven’t recd any but msg is too many sent. Help!,We'd like to provide some assistance with this. Tell us more about the issue you're experiencing in DM. We'll go from there.
119301,119301,@76099 @AppleSupport fix this update. It’s horrible,119300,"@105852 Are you experiencing an issue with your device? If so, DM us with what's going on. We'll see how we can help from there. https://t.co/GDrqU22YpT",Wed Oct 11 08:50:14 +0000 2017,fix this update. It’s horrible,"Are you experiencing an issue with your device? If so, DM us with what's going on. We'll see how we can help from there."
119324,119324,@AppleSupport I have the latest version iOS. It started immediately after I updated my phone.,119323,@105857 Is there a particular app that seems to cause these issues more than others? What model iPhone are you using? Join us in DM. https://t.co/GDrqU22YpT,Wed Oct 11 08:52:14 +0000 2017,I have the latest version iOS. It started immediately after I updated my phone.,Is there a particular app that seems to cause these issues more than others? What model iPhone are you using? Join us in DM.
119326,119326,My apps stop working without warning and my phone freezes every five minutes! Love the new update @76099!!!!,119325,@105857 We'd like to help if we can. When did this start happening? Which version of iOS are you running currently?,Tue Oct 10 23:09:08 +0000 2017,My apps stop working without warning and my phone freezes every five minutes! Love the new update !!!!,We'd like to help if we can. When did this start happening? Which version of iOS are you running currently?
